sample	Midday____Midnight	Air____CO2
SRR9042866	Midday	Air
SRR9042867	Midday	Air
SRR9042869	Midday	Air
SRR9042870	Midday	Air
SRR9042872	Midday	Air
SRR9042873	Midday	Air
SRR9042874	Midday	Air
SRR9042876	Midday	Air
SRR9042877	Midday	Air
SRR9042878	Midnight	Air
SRR9042879	Midnight	Air
SRR9042880	Midnight	Air
SRR9042881	Midnight	Air
SRR9042882	Midnight	Air
SRR9042883	Midnight	Air
SRR9042884	Midnight	Air
SRR9042886	Midnight	Air
SRR9042887	Midnight	Air
SRR9042888	Midnight	Air
SRR9042889	Midnight	Air
SRR9042890	Midnight	Air
SRR9042891	Midnight	Air
SRR9042892	Midnight	Air
SRR9042893	Midnight	Air
SRR9042894	Midnight	Air
SRR9042895	Midnight	Air
SRR9042896	Midnight	Air
SRR9042897	Midnight	Air
SRR9042898	Midnight	Air
SRR9042899	Midnight	Air
SRR9042900	Midnight	Air
SRR9042901	Midnight	Air
SRR9042902	Midday	Air
SRR9042903	Midday	Air
SRR9042904	Midday	Air
SRR9042905	Midday	Air
SRR9042906	Midday	Air
SRR9042907	Midday	Air
SRR9042908	Midday	Air
SRR9042909	Midday	Air
SRR9042910	Midday	Air
SRR9042911	Midday	Air
SRR9042912	Midday	Air
SRR9042913	Midday	Air
SRR9042914	Midday	CO2
SRR9042915	Midday	CO2
SRR9042916	Midday	CO2
SRR9042917	Midday	CO2
SRR9042918	Midday	CO2
SRR9042919	Midday	CO2
SRR9042920	Midday	CO2
SRR9042921	Midday	CO2
SRR9042922	Midday	CO2
SRR9042923	Midday	CO2
SRR9042924	Midday	CO2
SRR9042925	Midday	CO2
SRR9042926	Midnight	CO2
SRR9042927	Midnight	CO2
SRR9042928	Midnight	CO2
SRR9042929	Midnight	CO2
SRR9042930	Midnight	CO2
SRR9042931	Midnight	CO2
SRR9042932	Midnight	CO2
SRR9042933	Midnight	CO2
SRR9042934	Midnight	CO2
SRR9042935	Midnight	CO2
SRR9042936	Midnight	CO2
SRR9042937	Midnight	CO2
SRR9042938	Midday	CO2
SRR9042939	Midday	CO2
SRR9042940	Midday	CO2
SRR9042941	Midday	CO2
SRR9042942	Midday	CO2
SRR9042943	Midday	CO2
SRR9042944	Midday	CO2
SRR9042945	Midday	CO2
SRR9042946	Midday	CO2
SRR9042948	Midday	CO2
SRR9042949	Midday	CO2
SRR9042950	Midnight	CO2
SRR9042951	Midnight	CO2
SRR9042952	Midnight	CO2
SRR9042953	Midnight	CO2
SRR9042954	Midnight	CO2
SRR9042955	Midnight	CO2
SRR9042956	Midnight	CO2
SRR9042957	Midnight	CO2
SRR9042958	Midnight	CO2
SRR9042959	Midnight	CO2
SRR9042960	Midnight	CO2
SRR9042961	Midnight	CO2
