module	Midday____Midnight	Air____CO2
MEpurple	0.366836607413409	0.145063276180651
MEroyalblue	0.0618205270673024	-0.112933851977638
MElightyellow	0.349718263469716	-0.00774939215512543
MEred	-0.00581593320259355	0.36063396904711
MEmagenta	0.153410061136364	-0.406444664267658
MEyellow	0.772685498120491	-0.0158876787958106
MEblue	0.866496478345345	-0.207066640791821
MEgrey60	0.769918516219134	-0.0640592042491499
MEblack	-0.195348991238447	0.0856019236206352
MEmidnightblue	-0.345631626393198	-0.174126879151535
MEbrown	0.333244463319657	-0.314151709521951
MEgreen	-0.523502292401607	-0.160215933697904
MEsalmon	-0.844161510673594	-0.0820525223797075
MEpink	-0.59093970241528	0.118825282204992
MEtan	-0.75265508999685	0.0318694909196236
MEturquoise	-0.84997362066035	0.273564825333953
MElightcyan	-0.0535292051051193	0.113322490064829
MEcyan	-0.0363929261359208	-0.211028545385502
MEgreenyellow	-0.0464637338276916	0.107191146700921
MElightgreen	0.362610445950328	-0.358765924283919
MEgrey	0.0382527812665698	0.34563014950892
